dimensao,tipo,threads,inicialização,processamento,finalização
500x500,S,1,3085.151636,0.684094,3085.835730
500x500,S,1,3107.607876,0.683823,3108.291699
500x500,S,1,3110.945455,0.687672,3111.633127
500x500,S,1,3176.580139,0.700408,3177.280547
500x500,S,1,3229.117831,0.695763,3229.813594
1000x1000,S,1,3449.668391,6.484057,3456.152448
1000x1000,S,1,3462.689072,6.405689,3469.094761
1000x1000,S,1,3472.205618,6.543298,3478.748916
1000x1000,S,1,3482.092168,6.449975,3488.542142
1000x1000,S,1,3505.425004,6.502629,3511.927633
2000x2000,S,1,3536.090683,77.068555,3613.159237
2000x2000,S,1,3659.151362,79.305435,3738.456797
2000x2000,S,1,3760.981977,80.359553,3841.341530
2000x2000,S,1,3905.439114,81.147146,3986.586260
2000x2000,S,1,3992.993409,80.820666,4073.814075
500x500,C,2,4193.206305,0.243806,4193.450112
500x500,C,2,4196.644811,0.240493,4196.885303
500x500,C,2,4198.156559,0.259928,4198.416487
500x500,C,2,4199.798010,0.248616,4200.046626
500x500,C,2,4201.906445,0.248491,4202.154936
1000x1000,C,2,4226.622669,2.308217,4228.930886
1000x1000,C,2,4231.688267,2.240969,4233.929236
1000x1000,C,2,4236.692671,2.316625,4239.009296
1000x1000,C,2,4240.204647,2.356545,4242.561192
1000x1000,C,2,4243.554497,2.416228,4245.970725
2000x2000,C,2,4393.500326,25.830997,4419.331324
2000x2000,C,2,4426.109480,29.994323,4456.103802
2000x2000,C,2,4462.598228,29.621254,4492.219483
2000x2000,C,2,4500.955214,29.568595,4530.523808
2000x2000,C,2,4534.817052,30.465602,4565.282654
500x500,C,4,4620.420144,0.243921,4620.664065
500x500,C,4,4638.203793,0.241981,4638.445774
500x500,C,4,4649.894969,0.244864,4650.139833
500x500,C,4,4654.789067,0.263048,4655.052115
500x500,C,4,4657.670477,0.259513,4657.929991
1000x1000,C,4,5185.297849,2.275671,5187.573520
1000x1000,C,4,5195.237847,2.299173,5197.537020
1000x1000,C,4,5199.990886,2.314730,5202.305616
1000x1000,C,4,5207.359115,2.303915,5209.663031
1000x1000,C,4,5214.867915,2.314467,5217.182382
2000x2000,C,4,5247.069545,26.737159,5273.806704
2000x2000,C,4,5277.421006,30.072509,5307.493515
2000x2000,C,4,5349.915939,27.185638,5377.101577
2000x2000,C,4,5388.683267,28.875495,5417.558763
2000x2000,C,4,5420.779817,30.605912,5451.385729
500x500,C,8,5525.726276,0.243003,5525.969279
500x500,C,8,5542.954192,0.239125,5543.193317
500x500,C,8,5602.375462,0.254759,5602.630221
500x500,C,8,5626.298282,0.236470,5626.534752
500x500,C,8,5627.639178,0.259173,5627.898351
1000x1000,C,8,5648.479284,2.294125,5650.773409
1000x1000,C,8,5658.630219,2.325443,5660.955662
1000x1000,C,8,5662.869636,2.294515,5665.164151
1000x1000,C,8,5703.569767,2.271331,5705.841097
1000x1000,C,8,5708.239424,2.309883,5710.549307
2000x2000,C,8,5722.484823,26.545109,5749.029932
2000x2000,C,8,5754.219571,29.639062,5783.858633
2000x2000,C,8,5799.843026,28.093150,5827.936175
2000x2000,C,8,5831.050137,30.128893,5861.179031
2000x2000,C,8,5866.624732,29.442310,5896.067042
500x500,C,16,5958.467927,0.241994,5958.709922
500x500,C,16,5960.396935,0.244105,5960.641040
500x500,C,16,5962.091787,0.311550,5962.403337
500x500,C,16,5965.121119,0.251393,5965.372512
500x500,C,16,5966.290437,0.338301,5966.628738
1000x1000,C,16,5971.780713,2.291110,5974.071823
1000x1000,C,16,5975.165777,2.423484,5977.589261
1000x1000,C,16,5978.473007,2.477523,5980.950530
1000x1000,C,16,5981.740288,2.513851,5984.254139
1000x1000,C,16,5984.996719,2.530543,5987.527262
2000x2000,C,16,5995.599473,27.957850,6023.557323
2000x2000,C,16,6033.991383,28.534881,6062.526264
2000x2000,C,16,6082.353305,27.348661,6109.701966
2000x2000,C,16,6115.764310,29.388528,6145.152838
2000x2000,C,16,6149.753576,29.713801,6179.467377
