Forma, Dimensao, NumThreads, TempoTotal
Sequencial, 10, 0, 0.000028
Sequencial, 10, 0, 0.000122
Sequencial, 10, 0, 0.000128
Sequencial, 10, 0, 0.000125
Sequencial, 10, 0, 0.000124
Concorrente, 10, 1, 0.000970
Concorrente, 10, 1, 0.001049
Concorrente, 10, 1, 0.001242
Concorrente, 10, 1, 0.001358
Concorrente, 10, 1, 0.000589
Concorrente, 10, 1, 0.000689
Concorrente, 10, 2, 0.001516
Concorrente, 10, 2, 0.000523
Concorrente, 10, 2, 0.000724
Concorrente, 10, 2, 0.000617
Concorrente, 10, 2, 0.000564
Concorrente, 10, 4, 0.001627
Concorrente, 10, 4, 0.001939
Concorrente, 10, 4, 0.000871
Concorrente, 10, 4, 0.001961
Concorrente, 10, 4, 0.001079
Concorrente, 10, 8, 0.002739
Concorrente, 10, 8, 0.001915
Concorrente, 10, 8, 0.002294
Concorrente, 10, 8, 0.002093
Concorrente, 10, 8, 0.002004
Concorrente, 10, 14, 0.002838
Concorrente, 10, 14, 0.003116
Concorrente, 10, 14, 0.002713
Concorrente, 10, 14, 0.002909
Concorrente, 10, 14, 0.003030
Concorrente, 10, 16, 0.002827
Concorrente, 10, 16, 0.003119
Concorrente, 10, 16, 0.003282
Concorrente, 10, 16, 0.002894
Concorrente, 10, 16, 0.002642
Sequencial, 50, 0, 0.000270
Sequencial, 50, 0, 0.000262
Sequencial, 50, 0, 0.000232
Sequencial, 50, 0, 0.000203
Sequencial, 50, 0, 0.000241
Concorrente, 50, 1, 0.001451
Concorrente, 50, 1, 0.001375
Concorrente, 50, 1, 0.001252
Concorrente, 50, 1, 0.001370
Concorrente, 50, 1, 0.001287
Concorrente, 50, 2, 0.002852
Concorrente, 50, 2, 0.001314
Concorrente, 50, 2, 0.001571
Concorrente, 50, 2, 0.001540
Concorrente, 50, 2, 0.001380
Concorrente, 50, 4, 0.003595
Concorrente, 50, 4, 0.003477
Concorrente, 50, 4, 0.003349
Concorrente, 50, 4, 0.003153
Concorrente, 50, 4, 0.003406
Concorrente, 50, 8, 0.004502
Concorrente, 50, 8, 0.004211
Concorrente, 50, 8, 0.004788
Concorrente, 50, 8, 0.004704
Concorrente, 50, 8, 0.004354
Concorrente, 50, 14, 0.005412
Concorrente, 50, 14, 0.009148
Concorrente, 50, 14, 0.004457
Concorrente, 50, 14, 0.005757
Concorrente, 50, 14, 0.004976
Concorrente, 50, 16, 0.005904
Concorrente, 50, 16, 0.005857
Concorrente, 50, 16, 0.006103
Concorrente, 50, 16, 0.005662
Concorrente, 50, 16, 0.006115
Sequencial, 100, 0, 0.000539
Sequencial, 100, 0, 0.000518
Sequencial, 100, 0, 0.000521
Sequencial, 100, 0, 0.000523
Sequencial, 100, 0, 0.000503
Concorrente, 100, 1, 0.001772
Concorrente, 100, 1, 0.002057
Concorrente, 100, 1, 0.002097
Concorrente, 100, 1, 0.002583
Concorrente, 100, 1, 0.001986
Concorrente, 100, 2, 0.004120
Concorrente, 100, 2, 0.004357
Concorrente, 100, 2, 0.003462
Concorrente, 100, 2, 0.003386
Concorrente, 100, 2, 0.003514
Concorrente, 100, 4, 0.004618
Concorrente, 100, 4, 0.005198
Concorrente, 100, 4, 0.004008
Concorrente, 100, 4, 0.004118
Concorrente, 100, 4, 0.004563
Concorrente, 100, 8, 0.007600
Concorrente, 100, 8, 0.007589
Concorrente, 100, 8, 0.007550
Concorrente, 100, 8, 0.006979
Concorrente, 100, 8, 0.006653
Concorrente, 100, 14, 0.009495
Concorrente, 100, 14, 0.008809
Concorrente, 100, 14, 0.008519
Concorrente, 100, 14, 0.009950
Concorrente, 100, 14, 0.009107
Concorrente, 100, 16, 0.010049
Concorrente, 100, 16, 0.010878
Concorrente, 100, 16, 0.011338
Concorrente, 100, 16, 0.009409
Concorrente, 100, 16, 0.010437
Sequencial, 250, 0, 0.000434
Sequencial, 250, 0, 0.002424
Sequencial, 250, 0, 0.002394
Sequencial, 250, 0, 0.002331
Sequencial, 250, 0, 0.002335
Concorrente, 250, 1, 0.002794
Concorrente, 250, 1, 0.008188
Concorrente, 250, 1, 0.008164
Concorrente, 250, 1, 0.007817
Concorrente, 250, 1, 0.008420
Concorrente, 250, 2, 0.011120
Concorrente, 250, 2, 0.011009
Concorrente, 250, 2, 0.011219
Concorrente, 250, 2, 0.012297
Concorrente, 250, 2, 0.008899
Concorrente, 250, 4, 0.015148
Concorrente, 250, 4, 0.004640
Concorrente, 250, 4, 0.004236
Concorrente, 250, 4, 0.015172
Concorrente, 250, 4, 0.015058
Concorrente, 250, 8, 0.021127
Concorrente, 250, 8, 0.019921
Concorrente, 250, 8, 0.021950
Concorrente, 250, 8, 0.020049
Concorrente, 250, 8, 0.009769
Concorrente, 250, 14, 0.025452
Concorrente, 250, 14, 0.025252
Concorrente, 250, 14, 0.026715
Concorrente, 250, 14, 0.025838
Concorrente, 250, 14, 0.013521
Concorrente, 250, 16, 0.027120
Concorrente, 250, 16, 0.028606
Concorrente, 250, 16, 0.027155
Concorrente, 250, 16, 0.017862
Concorrente, 250, 16, 0.025765
Sequencial, 500, 0, 0.005646
Sequencial, 500, 0, 0.008420
Sequencial, 500, 0, 0.008376
Sequencial, 500, 0, 0.002891
Sequencial, 500, 0, 0.007824
Concorrente, 500, 1, 0.018992
Concorrente, 500, 1, 0.019710
Concorrente, 500, 1, 0.020997
Concorrente, 500, 1, 0.011380
Concorrente, 500, 1, 0.011908
Concorrente, 500, 2, 0.019075
Concorrente, 500, 2, 0.026546
Concorrente, 500, 2, 0.028851
Concorrente, 500, 2, 0.019664
Concorrente, 500, 2, 0.024847
Concorrente, 500, 4, 0.027633
Concorrente, 500, 4, 0.022411
Concorrente, 500, 4, 0.026658
Concorrente, 500, 4, 0.029192
Concorrente, 500, 4, 0.034049
Concorrente, 500, 8, 0.038170
Concorrente, 500, 8, 0.043312
Concorrente, 500, 8, 0.043964
Concorrente, 500, 8, 0.043843
Concorrente, 500, 8, 0.046720
Concorrente, 500, 14, 0.065029
Concorrente, 500, 14, 0.052524
Concorrente, 500, 14, 0.067040
Concorrente, 500, 14, 0.066385
Concorrente, 500, 14, 0.064923
Concorrente, 500, 16, 0.050546
Concorrente, 500, 16, 0.063958
Concorrente, 500, 16, 0.065225
Concorrente, 500, 16, 0.047836
Concorrente, 500, 16, 0.040701
Sequencial, 1000, 0, 0.008342
Sequencial, 1000, 0, 0.021789
Sequencial, 1000, 0, 0.009218
Sequencial, 1000, 0, 0.019419
Sequencial, 1000, 0, 0.010362
Concorrente, 1000, 1, 0.026454
Concorrente, 1000, 1, 0.057453
Concorrente, 1000, 1, 0.047229
Concorrente, 1000, 1, 0.036259
Concorrente, 1000, 1, 0.029904
Concorrente, 1000, 2, 0.039519
Concorrente, 1000, 2, 0.029243
Concorrente, 1000, 2, 0.029619
Concorrente, 1000, 2, 0.037360
Concorrente, 1000, 2, 0.039934
Concorrente, 1000, 4, 0.049610
Concorrente, 1000, 4, 0.043385
Concorrente, 1000, 4, 0.053040
Concorrente, 1000, 4, 0.041475
Concorrente, 1000, 4, 0.042860
Concorrente, 1000, 8, 0.089643
Concorrente, 1000, 8, 0.063319
Concorrente, 1000, 8, 0.079364
Concorrente, 1000, 8, 0.063267
Concorrente, 1000, 8, 0.074345
Concorrente, 1000, 14, 0.145320
Concorrente, 1000, 14, 0.154960
Concorrente, 1000, 14, 0.147599
Concorrente, 1000, 14, 0.162853
Concorrente, 1000, 14, 0.155538
Concorrente, 1000, 16, 0.190617
Concorrente, 1000, 16, 0.159126
Concorrente, 1000, 16, 0.174668
Concorrente, 1000, 16, 0.164996
Concorrente, 1000, 16, 0.178543
Sequencial, 3000, 0, 0.049158
Sequencial, 3000, 0, 0.051644
Sequencial, 3000, 0, 0.058845
Sequencial, 3000, 0, 0.060268
Sequencial, 3000, 0, 0.058288
Concorrente, 3000, 1, 0.096594
Concorrente, 3000, 1, 0.095168
Concorrente, 3000, 1, 0.099860
Concorrente, 3000, 1, 0.090480
Concorrente, 3000, 1, 0.092574
Concorrente, 3000, 2, 0.159190
Concorrente, 3000, 2, 0.164376
Concorrente, 3000, 2, 0.178057
Concorrente, 3000, 2, 0.163292
Concorrente, 3000, 2, 0.172261
Concorrente, 3000, 4, 0.219076
Concorrente, 3000, 4, 0.199958
Concorrente, 3000, 4, 0.208934
Concorrente, 3000, 4, 0.229386
Concorrente, 3000, 4, 0.205097
Concorrente, 3000, 8, 0.283086
Concorrente, 3000, 8, 0.294872
Concorrente, 3000, 8, 0.289167
Concorrente, 3000, 8, 0.311004
Concorrente, 3000, 8, 0.271490
Concorrente, 3000, 14, 0.397067
Concorrente, 3000, 14, 0.424257
Concorrente, 3000, 14, 0.368579
Concorrente, 3000, 14, 0.381703
Concorrente, 3000, 14, 0.352342
Concorrente, 3000, 16, 0.420066
Concorrente, 3000, 16, 0.351238
Concorrente, 3000, 16, 0.387881
Concorrente, 3000, 16, 0.401373
Concorrente, 3000, 16, 0.413935
Sequencial, 5000, 0, 0.133525
Sequencial, 5000, 0, 0.138807
Sequencial, 5000, 0, 0.139942
Sequencial, 5000, 0, 0.131300
Sequencial, 5000, 0, 0.142335
Concorrente, 5000, 1, 0.208260
Concorrente, 5000, 1, 0.207289
Concorrente, 5000, 1, 0.204860
Concorrente, 5000, 1, 0.215654
Concorrente, 5000, 1, 0.207868
Concorrente, 5000, 2, 0.435346
Concorrente, 5000, 2, 0.387553
Concorrente, 5000, 2, 0.414744
Concorrente, 5000, 2, 0.417746
Concorrente, 5000, 2, 0.388573
Concorrente, 5000, 4, 0.555433
Concorrente, 5000, 4, 0.511040
Concorrente, 5000, 4, 0.587335
Concorrente, 5000, 4, 0.537713
Concorrente, 5000, 4, 0.550386
Concorrente, 5000, 8, 0.724218
Concorrente, 5000, 8, 0.767760
Concorrente, 5000, 8, 0.742486
Concorrente, 5000, 8, 0.730535
Concorrente, 5000, 8, 0.670822
Concorrente, 5000, 14, 0.949196
Concorrente, 5000, 14, 0.906599
Concorrente, 5000, 14, 0.818250
Concorrente, 5000, 14, 0.895967
Concorrente, 5000, 14, 0.866244
Concorrente, 5000, 16, 0.899365
Concorrente, 5000, 16, 0.881310
Concorrente, 5000, 16, 0.909023
Concorrente, 5000, 16, 0.937868
Concorrente, 5000, 16, 0.879402
Sequencial, 8000, 0, 0.336513
Sequencial, 8000, 0, 0.331544
Sequencial, 8000, 0, 0.336857
Sequencial, 8000, 0, 0.331942
Sequencial, 8000, 0, 0.323966
Concorrente, 8000, 1, 0.512927
Concorrente, 8000, 1, 0.505411
Concorrente, 8000, 1, 0.524528
Concorrente, 8000, 1, 0.528376
Concorrente, 8000, 1, 0.510995
Concorrente, 8000, 2, 1.087107
Concorrente, 8000, 2, 1.063416
Concorrente, 8000, 2, 0.967015
Concorrente, 8000, 2, 1.084886
Concorrente, 8000, 2, 1.044460
Concorrente, 8000, 4, 1.450251
Concorrente, 8000, 4, 1.513716
Concorrente, 8000, 4, 1.406522
Concorrente, 8000, 4, 1.540660
Concorrente, 8000, 4, 1.498591
Concorrente, 8000, 8, 1.849576
Concorrente, 8000, 8, 1.947732
Concorrente, 8000, 8, 1.731103
Concorrente, 8000, 8, 1.661659
Concorrente, 8000, 8, 1.896445
Concorrente, 8000, 14, 2.160779
Concorrente, 8000, 14, 1.998879
Concorrente, 8000, 14, 2.074703
Concorrente, 8000, 14, 2.246923
Concorrente, 8000, 14, 2.316670
Concorrente, 8000, 16, 2.235601
Concorrente, 8000, 16, 2.217789
Concorrente, 8000, 16, 2.165821
Concorrente, 8000, 16, 2.201484
Concorrente, 8000, 16, 2.277220
